Iteration: 268	 Current Reward: 82.86	 Std Rewards: 108.61	 Time per iteration: 12.5341
Iteration: 269	 Current Reward: 996.07	 Std Rewards: 236.60	 Time per iteration: 12.0489
Iteration: 270	 Current Reward: 994.14	 Std Rewards: 283.73	 Time per iteration: 12.1316
Iteration: 271	 Current Reward: 991.51	 Std Rewards: 214.32	 Time per iteration: 12.3307
Iteration: 272	 Current Reward: 982.84	 Std Rewards: 257.28	 Time per iteration: 12.0322
Iteration: 273	 Current Reward: 982.89	 Std Rewards: 236.25	 Time per iteration: 12.2334
Iteration: 274	 Current Reward: 987.83	 Std Rewards: 239.58	 Time per iteration: 12.0447
Iteration: 275	 Current Reward: 990.74	 Std Rewards: 152.08	 Time per iteration: 12.4353
Iteration: 276	 Current Reward: 982.33	 Std Rewards: 164.37	 Time per iteration: 12.4346
Iteration: 277	 Current Reward: 979.05	 Std Rewards: 315.87	 Time per iteration: 12.0452
Iteration: 278	 Current Reward: 984.19	 Std Rewards: 239.08	 Time per iteration: 12.5396
Iteration: 279	 Current Reward: 995.86	 Std Rewards: 258.78	 Time per iteration: 12.1490
Iteration: 280	 Current Reward: 996.75	 Std Rewards: 182.31	 Time per iteration: 12.4339
Iteration: 281	 Current Reward: 990.07	 Std Rewards: 157.08	 Time per iteration: 12.6316
Iteration: 282	 Current Reward: 989.30	 Std Rewards: 122.92	 Time per iteration: 12.4308
Iteration: 283	 Current Reward: 996.05	 Std Rewards: 105.87	 Time per iteration: 12.5345
Iteration: 284	 Current Reward: 987.98	 Std Rewards: 164.54	 Time per iteration: 12.3460
Iteration: 285	 Current Reward: 988.99	 Std Rewards: 155.18	 Time per iteration: 12.3346
Iteration: 286	 Current Reward: 992.76	 Std Rewards: 222.16	 Time per iteration: 12.3320
Iteration: 287	 Current Reward: 987.88	 Std Rewards: 198.01	 Time per iteration: 12.3313
Iteration: 288	 Current Reward: 996.15	 Std Rewards: 111.26	 Time per iteration: 12.4368
Iteration: 289	 Current Reward: 990.85	 Std Rewards: 218.12	 Time per iteration: 12.2491
Iteration: 290	 Current Reward: 996.37	 Std Rewards: 145.85	 Time per iteration: 12.3325
Iteration: 291	 Current Reward: 994.67	 Std Rewards: 167.91	 Time per iteration: 12.3338
Iteration: 292	 Current Reward: 990.37	 Std Rewards: 203.56	 Time per iteration: 12.3296
Iteration: 293	 Current Reward: 989.10	 Std Rewards: 196.33	 Time per iteration: 12.3367
Iteration: 294	 Current Reward: 996.47	 Std Rewards: 189.74	 Time per iteration: 12.3473
Iteration: 295	 Current Reward: 990.87	 Std Rewards: 247.23	 Time per iteration: 12.2335
Iteration: 296	 Current Reward: 994.63	 Std Rewards: 245.69	 Time per iteration: 12.3432
Iteration: 297	 Current Reward: 989.16	 Std Rewards: 233.86	 Time per iteration: 12.1323
